af,aggregator_client_id,auto_topup,auto_topup_prb_days_off,auto_topup_prb_similarity,cookies,creation_time,credits_per_result,default_client_subnet,description,estimated_results_per_day,group,group_id,id,in_wifi_group,include_abuf,include_qbuf,interval,is_all_scheduled,is_oneoff,is_public,participant_count,port,prepend_probe_id,probes_requested,probes_scheduled,protocol,query_argument,query_class,query_type,resolve_on_probe,resolved_ips,result,retry,set_ad_bit,set_cd_bit,set_do_bit,set_nsid_bit,set_rd_bit,spread,start_time,stop_time,tags,target,target_asn,target_ip,target_prefix,target_update_hours,target_update_last,timeout,tls,ttl,type,udp_payload_size,use_macros,use_probe_resolver,status.name,status.id,status.when,label
4,,False,7,0.5,,1770700644,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153993591/,153993591,153993602,False,True,,,True,True,True,1,,,0,1,UDP,test9.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153993602/results/,0,,,,True,True,,1770700644,1770700980,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770700980,MB-10-02
4,,False,7,0.5,,1770700644,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153993591/,153993591,153993603,False,True,,,True,True,True,1,,,0,1,UDP,test10.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153993603/results/,0,,,,True,True,,1770700644,1770700980,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770700980,MB-10-02
4,,False,7,0.5,,1770700644,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153993591/,153993591,153993604,False,True,,,True,True,True,1,,,0,1,UDP,test11.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153993604/results/,0,,,,True,True,,1770700644,1770700980,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770700980,MB-10-02
4,,False,7,0.5,,1770700644,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153993591/,153993591,153993605,False,True,,,True,True,True,1,,,0,1,UDP,test12.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153993605/results/,0,,,,True,True,,1770700644,1770700980,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770700980,MB-10-02
4,,False,7,0.5,,1770700644,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153993591/,153993591,153993606,False,True,,,True,True,True,1,,,0,1,UDP,test13.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153993606/results/,0,,,,True,True,,1770700644,1770700980,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770700980,MB-10-02
4,,False,7,0.5,,1770700644,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153993591/,153993591,153993607,False,True,,,True,True,True,1,,,0,1,UDP,test14.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153993607/results/,0,,,,True,True,,1770700644,1770700980,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770700980,MB-10-02
4,,False,7,0.5,,1770700644,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153993591/,153993591,153993608,False,True,,,True,True,True,1,,,0,1,UDP,test15.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153993608/results/,0,,,,True,True,,1770700644,1770700980,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770700980,MB-10-02
4,,False,7,0.5,,1770700644,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153993591/,153993591,153993609,False,True,,,True,True,True,1,,,0,1,UDP,test16.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153993609/results/,0,,,,True,True,,1770700644,1770700980,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770700980,MB-10-02
4,,False,7,0.5,,1770700644,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153993591/,153993591,153993610,False,True,,,True,True,True,1,,,0,1,UDP,test17.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153993610/results/,0,,,,True,True,,1770700644,1770700980,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770700980,MB-10-02
4,,False,7,0.5,,1770700644,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153993591/,153993591,153993611,False,True,,,True,True,True,1,,,0,1,UDP,test18.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153993611/results/,0,,,,True,True,,1770700644,1770700980,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770700980,MB-10-02
4,,False,7,0.5,,1770700644,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153993591/,153993591,153993612,False,True,,,True,True,True,1,,,0,1,UDP,test19.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153993612/results/,0,,,,True,True,,1770700644,1770700980,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770700980,MB-10-02
4,,False,7,0.5,,1770701009,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153994459/,153994459,153994459,False,True,,,True,True,True,1,,,0,1,UDP,test.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153994459/results/,0,,,,True,True,,1770701009,1770701340,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770701340,MB-10-02
4,,False,7,0.5,,1770701009,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153994459/,153994459,153994460,False,True,,,True,True,True,1,,,0,1,UDP,test0.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153994460/results/,0,,,,True,True,,1770701009,1770701340,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770701340,MB-10-02
4,,False,7,0.5,,1770701009,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153994459/,153994459,153994461,False,True,,,True,True,True,1,,,0,1,UDP,test1.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153994461/results/,0,,,,True,True,,1770701009,1770701340,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770701340,MB-10-02
4,,False,7,0.5,,1770701009,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153994459/,153994459,153994462,False,True,,,True,True,True,1,,,0,1,UDP,test2.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153994462/results/,0,,,,True,True,,1770701009,1770701340,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770701340,MB-10-02
4,,False,7,0.5,,1770701009,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153994459/,153994459,153994463,False,True,,,True,True,True,1,,,0,1,UDP,test3.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153994463/results/,0,,,,True,True,,1770701009,1770701340,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770701340,MB-10-02
4,,False,7,0.5,,1770701009,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153994459/,153994459,153994464,False,True,,,True,True,True,1,,,0,1,UDP,test4.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153994464/results/,0,,,,True,True,,1770701009,1770701340,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770701340,MB-10-02
4,,False,7,0.5,,1770701009,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153994459/,153994459,153994465,False,True,,,True,True,True,1,,,0,1,UDP,test5.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153994465/results/,0,,,,True,True,,1770701009,1770701340,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770701340,MB-10-02
