af,aggregator_client_id,auto_topup,auto_topup_prb_days_off,auto_topup_prb_similarity,cookies,creation_time,credits_per_result,default_client_subnet,description,estimated_results_per_day,group,group_id,id,in_wifi_group,include_abuf,include_qbuf,interval,is_all_scheduled,is_oneoff,is_public,participant_count,port,prepend_probe_id,probes_requested,probes_scheduled,protocol,query_argument,query_class,query_type,resolve_on_probe,resolved_ips,result,retry,set_ad_bit,set_cd_bit,set_do_bit,set_nsid_bit,set_rd_bit,spread,start_time,stop_time,tags,target,target_asn,target_ip,target_prefix,target_update_hours,target_update_last,timeout,tls,ttl,type,udp_payload_size,use_macros,use_probe_resolver,status.name,status.id,status.when,label
4,,False,7,0.5,,1770096631,20,,"[Hydra DNS] {""algorithm"": ""FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB3""}",2,https://atlas.ripe.net/api/v2/measurements/groups/152680041/,152680041,152680041,False,True,,,True,True,True,2,,,0,2,UDP,test0.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/152680041/results/,0,,,,,,,1770096631,,[],15.134.173.185,,15.134.173.185,,0,,5000,,,dns,1232,,,Scheduled,1,,MB3
4,,False,7,0.5,,1770096631,20,,"[Hydra DNS] {""algorithm"": ""FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB3""}",2,https://atlas.ripe.net/api/v2/measurements/groups/152680041/,152680041,152680042,False,True,,,True,True,True,2,,,0,2,UDP,test1.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/152680042/results/,0,,,,,,,1770096631,,[],15.134.173.185,,15.134.173.185,,0,,5000,,,dns,1232,,,Scheduled,1,,MB3
